state,total_orders,avg_delivery_days,avg_estimated_days,late_orders,late_delivery_pct,avg_review_score
AL,397,24.5,32.6,95,23.9,3.85
MA,717,21.6,30.5,141,19.7,3.83
PI,476,19.5,30.1,76,16.0,3.99
CE,1279,21.3,31.4,196,15.3,3.94
SE,335,21.5,30.8,51,15.2,3.91
BA,3256,19.3,29.4,457,14.0,3.93
RJ,12350,15.3,26.4,1664,13.5,3.97
TO,274,17.7,29.1,35,12.8,4.15
PA,946,23.8,37.2,117,12.4,3.91
ES,1995,15.8,25.6,244,12.2,4.08
RR,41,29.4,46.0,5,12.2,3.90
MS,701,15.6,26.0,81,11.6,4.16
PB,517,20.4,33.0,57,11.0,4.08
RN,474,19.3,32.2,51,10.8,4.15
PE,1593,18.4,31.1,172,10.8,4.08
SC,3546,15.0,25.8,346,9.8,4.13
GO,1957,15.6,27.1,160,8.2,4.11
DF,2080,13.0,24.3,147,7.1,4.13
RS,5344,15.3,28.5,382,7.1,4.18
MT,886,18.1,31.7,60,6.8,4.15
SP,40494,8.8,19.1,2387,5.9,4.25
MG,11354,12.0,24.5,637,5.6,4.19
PR,4923,12.0,24.6,246,5.0,4.24
AP,67,27.2,46.2,3,4.5,4.24
AM,145,26.4,45.3,6,4.1,4.24
AC,80,21.0,41.1,3,3.8,4.09
RO,243,19.4,38.8,7,2.9,4.17
